"","Country","cri","MTCO2e","Moratoria_bans_limits","Subsidy_removal","Divestment","Sources","Notes","ISO2","ISO3","UN","CAT_rating","latitude","longitude","global_level","continent_level","mbl_country","mbl_city_region","divestment_city_region","divestment_non_government","subsidy_removal","MBL_Class_Moratorium","MBL_Class_Ban","MBL_Class_Partial_Ban","MBL_Class_Limitation","MBL_Type_Oil","MBL_Type_Gas","MBL_Type_Coal","MBL_Type_Offshore","MBL_Type_Oil_Gas","MBL_Type_Oil_Gas_Coal","MBL_Type_Coal_Gas","MBL_Type_All","MBL_Type_Ore","Div_Type_Full","Div_Type_Partial","Div_Type_Fossil_Free","Div_Type_Coal_Only","Div_Type_Coal_and_Tar_Sands_Only","Div_Orga_Faith_based_Organization","Div_Orga_NGO","Div_Orga_Pension_Fund","Div_Orga_For_Profit_Corporation","Div_Orga_Philanthropic_Foundation","Div_Orga_Government","Div_Orga_Educational_Institution","Div_Orga_Healthcare_Institution","Div_Orga_Cultural_Institution","Div_Orga_Other","Sr_Type_All","Sr_Type_Coal","Sr_Type_Gas","Sr_Type_Oil","Sr_Type_Oil_Gas","Sr_Type_Oil_Coal","Sr_Type_Gas_Coal","treaty_total","Moratoria_bans_limits_total","Divestment_total","Subsidy_removal_total","Policy_total","Government_policies_total","Non_Government_policies_total","oil_production_2020","gas_production_2020","coal_production_2020","oil_production_2020_cat","gas_production_2020_cat","coal_production_2020_cat","MTCO2e_cat","global_emissions_percent","fossil_fuel_share_energy_2019","ff_share_2019_cat","co2_oil_annual_2019","co2_gas_annual_2019","co2_coal_annual_2019","co2_oil_annual_2019_cat","co2_gas_annual_2019_cat","co2_coal_annual_2019_cat"
"79","Japan",46.33,1262.19,0,1,0,0,0,"JP","JPN",392,1,36,138,"Global","Asia",1,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,3,1,2,0,0,4.89310694444444,"No data","No data","1-500TWh","1000-5000 MTCO2e",3.036834,87.449,"80-90%",418785897,218452451,434767774,"100-500 million t","100-500 million t","100-500 million t"
"80","Kazakhstan",93.17,274.51,0,0,0,0,0,"KZ","KAZ",398,2,48,68,"Global","Asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058.840387202,340.419966666667,575.554106388889,"1000-1500TWH","1-500TWh","500-1000TWH","169-500 MTCO2e",0.861103,96.895,"95-100%",49984828,65421600,172425654,"10-50 million t","50-100 million t","100-500 million t"
"81","Kenya",62.17,48.5,0,0,1,0,0,"KE","KEN",404,3,1,38,"Global","Africa",0,1,0,11,1,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,5,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11,1,13,2,11,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.047515,0,"No data",13504612,NA,1212307,"10-50 million t",NA,"1-5 million t"
"82","Kyrgyzstan",88,15.81,0,0,0,0,0,"KG","KGZ",417,7,41,75,"Global","Asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.03151,0,"No data",5420282,631579,4928488,"1-10 million t","1-5 million t","1-5 million t"
"83","Cambodia",54.17,65.46,0,0,0,0,0,"KH","KHM",116,7,13,105,"Global","Asia",1,2,0,0,0,1,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.04398,0,"No data",7330171,NA,8085131,"1-10 million t",NA,"5-10 million t"
"84","Korea (South)",124.5,657.41,0,1,0,0,0,"KR","KOR",410,1,37,127.5,"Global","Asia",0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,1,10,1,9,0,0,5.96307305555556,"No data","No data","1-500TWh","500-1000 MTCO2e",1.677387,86.94,"80-90%",178893963,111235105,298563780,"100-500 million t","100-500 million t","100-500 million t"
"85","Kuwait",124.5,109.81,0,0,0,0,0,"KW","KWT",414,7,29.3375,47.6581,"Global","Asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1667.50819048,179.245737222222,0,"1500-2000TWH","1-500TWh","No data","1-169 MTCO2e",0.295082,99.913,"95-100%",57284743,47311451,NA,"50-100 million t","10-50 million t",NA
"86","Lao PDR",81.17,52.29,0,0,0,0,0,"LA","LAO",418,7,18,105,"Global","Asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.090048,0,"No data",3322630,NA,28728969,"1-5 million t",NA,"10-50 million t"
"87","Lebanon",72.33,33.77,0,0,0,0,0,"LB","LBN",422,7,33.8333,35.8333,"Global","Asia",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.07739,0,"No data",25222229,NA,626544,"10-50 million t",NA,"1-5 million t"
"88","Liberia",86,10.67,0,0,1,0,0,"LR","LBR",430,7,6.5,-9.5,"Global","Africa",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.003627,0,"No data",1227661,NA,NA,"1-5 million t",NA,NA
