"","Country","cri","MTCO2e","Moratoria_bans_limits","Subsidy_removal","Divestment","Sources","Notes","ISO2","ISO3","UN","CAT_rating","latitude","longitude","global_level","continent_level","mbl_country","mbl_city_region","divestment_city_region","divestment_non_government","subsidy_removal","MBL_Class_Moratorium","MBL_Class_Ban","MBL_Class_Partial_Ban","MBL_Class_Limitation","MBL_Type_Oil","MBL_Type_Gas","MBL_Type_Coal","MBL_Type_Offshore","MBL_Type_Oil_Gas","MBL_Type_Oil_Gas_Coal","MBL_Type_Coal_Gas","MBL_Type_All","MBL_Type_Ore","Div_Type_Full","Div_Type_Partial","Div_Type_Fossil_Free","Div_Type_Coal_Only","Div_Type_Coal_and_Tar_Sands_Only","Div_Orga_Faith_based_Organization","Div_Orga_NGO","Div_Orga_Pension_Fund","Div_Orga_For_Profit_Corporation","Div_Orga_Philanthropic_Foundation","Div_Orga_Government","Div_Orga_Educational_Institution","Div_Orga_Healthcare_Institution","Div_Orga_Cultural_Institution","Div_Orga_Other","Sr_Type_All","Sr_Type_Coal","Sr_Type_Gas","Sr_Type_Oil","Sr_Type_Oil_Gas","Sr_Type_Oil_Coal","Sr_Type_Gas_Coal","treaty_total","Moratoria_bans_limits_total","Divestment_total","Subsidy_removal_total","Policy_total","Government_policies_total","Non_Government_policies_total","oil_production_2020","gas_production_2020","coal_production_2020","oil_production_2020_cat","gas_production_2020_cat","coal_production_2020_cat","MTCO2e_cat","global_emissions_percent","fossil_fuel_share_energy_2019","ff_share_2019_cat","co2_oil_annual_2019","co2_gas_annual_2019","co2_coal_annual_2019","co2_oil_annual_2019_cat","co2_gas_annual_2019_cat","co2_coal_annual_2019_cat"
"110","Niger",77.17,42.76,0,0,0,0,0,"NE","NER",562,7,16,8,"Global","Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.005859,0,"No data",1817420,NA,297912,"1-5 million t",NA,"1-5 million t"
"111","Nigeria",76,475.77,0,0,1,0,0,"NG","NGA",566,7,10,8,"Global","Africa",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,4,1,3,1176.256193825,492.791486111111,0,"1000-1500TWH","1-500TWh","No data","169-500 MTCO2e",0.384251,0,"No data",80544201,35191127,110462,"50-100 million t","10-50 million t","1-5 million t"
"112","Nicaragua",40.83,20.44,0,0,0,0,0,"NI","NIC",558,7,13,-85,"Global","North America",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.015226,0,"No data",5277831,NA,NA,"1-10 million t",NA,NA
"113","Netherlands",94.5,187.8,2,0,8,0,0,"NL","NLD",528,2,52.5,5.75,"Global","Europe",2,1,2,16,0,0,3,0,0,0,2,1,0,0,0,0,0,0,10,2,1,2,3,2,0,4,8,2,2,0,0,0,0,0,0,0,0,0,0,0,1,3,18,0,22,5,16,0,278.444444444444,0,"No data","1-500TWh","No data","169-500 MTCO2e",0.424865,92.467,"90-95",52422017,74216191,25553066,"50-100 million t","50-100 million t","10-50 million t"
"114","Norway",70.83,25.02,0,0,7,0,0,"NO","NOR",578,2,62,10,"Global","Europe",0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,1,1,0,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,1,7,913.4818074827,1142.59786916667,0,"500-1000TWH","1000-1500TWH","No data","1-169 MTCO2e",0.116463,32.93,"20-40%",21467039,13452252,4233579,"10-50 million t","10-50 million t","1-5 million t"
"115","Nepal",51.33,61.33,0,0,0,0,0,"NP","NPL",524,6,28,84,"Global","Asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.038181,0,"No data",6995869,NA,6078711,"1-10 million t",NA,"5-10 million t"
"116","New Zealand",75.83,63.22,2,2,18,0,0,"NZ","NZL",554,2,-41,174,"Global","Oceania",1,1,5,16,2,0,2,0,0,1,1,0,0,0,0,0,0,0,18,2,1,0,0,7,0,2,0,0,5,6,0,0,1,0,0,1,1,0,0,0,1,2,21,2,26,9,16,0,0,22.2198225,"No data","No data","1-500TWh","1-169 MTCO2e",0.100273,64.587,"60-80%",20513343,8048247,5780711,"10-50 million t","1-10 million t","5-10 million t"
"117","Oman",33.33,77.82,0,0,0,0,0,"OM","OMN",512,7,21,57,"Global","Asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550.4264966132,366.901946388889,0,"500-1000TWH","1-500TWh","No data","1-169 MTCO2e",0.196712,99.998,"95-100%",15731732,50883411,NA,"10-50 million t","50-100 million t",NA
"118","Pakistan",28.17,417.96,1,0,0,0,0,"PK","PAK",586,7,30,70,"Global","Asia",1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,326.862295833333,35.3925636111111,"No data","1-500TWh","1-500TWh","169-500 MTCO2e",0.682861,86.979,"80-90%",77344021,80355861,77016720,"50-100 million t","50-100 million t","50-100 million t"
"119","Panama",104.83,26.66,0,0,0,0,0,"PA","PAN",591,7,9,-80,"Global","North America",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.03431,0,"No data",11249017,NA,401798,"10-50 million t",NA,"1-5 million t"
"120","Peru",45.5,169.48,0,0,0,0,0,"PE","PER",604,2,-10,-76,"Global","South America",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,5,0,4,71.00466108537,134.957921388889,0,"1-500TWh","1-500TWh","No data","169-500 MTCO2e",0.149646,71.207,"60-80%",32686647,16017444,1679883,"10-50 million t","10-50 million t","1-5 million t"
"121","Philippines",28.83,149.76,1,0,0,0,0,"PH","PHL",608,3,13,122,"Global","Asia",3,3,0,2,1,6,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,2,1,10,7,2,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.395876,88.331,"80-90%",57169819,8139956,69384200,"50-100 million t","1-10 million t","50-100 million t"
"122","Papua New Guinea",41.5,65.31,0,0,1,0,0,"PG","PNG",598,7,-6,147,"Global","Oceania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.019447,0,"No data",6245729,841123,NA,"1-10 million t","1-5 million t",NA
"123","Poland",67,349.85,0,1,0,0,0,"PL","POL",616,2,52,20,"Global","Europe",1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,3,2,0,0,39.8519444444444,518.821151388889,"No data","1-500TWh","500-1000TWH","169-500 MTCO2e",0.88533,93.263,"90-95",87407356,35062090,183131431,"50-100 million t","10-50 million t","100-500 million t"
"124","Puerto Rico",97,0,0,0,0,0,0,"PR","PRI",630,7,18.25,-66.5,"Global","North America",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No data","No data","No data","No data",0,0,"No data",NA,NA,NA,NA,NA,NA
"125","Korea (North)",0,67.48,0,0,0,0,0,"KP","PRK",408,7,40,127,"Global","Asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.106369,0,"No data",3261477,NA,32905296,"1-5 million t",NA,"10-50 million t"
"126","Portugal",104.5,68.45,0,1,1,0,0,"PT","PRT",620,2,39.5,-8,"Global","Europe",0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,3,1,2,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.133359,75.546,"60-80%",27065233,11971895,5253707,"10-50 million t","10-50 million t","5-10 million t"
"127","Paraguay",47.5,194.87,0,0,0,0,0,"PY","PRY",600,7,-23,-58,"Global","South America",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No data","No data","No data","169-500 MTCO2e",0.0227,0,"No data",7916878,NA,5575,"1-10 million t",NA,"1-5 million t"
"128","Qatar",110.33,94.98,0,0,0,0,0,"QA","QAT",634,7,25.5,51.25,"Global","Asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903.4665234281,1721.04089944444,0,"500-1000TWH","1500-2000TWH","No data","1-169 MTCO2e",0.300056,99.946,"95-100%",9897328,95795974,NA,"1-10 million t","50-100 million t",NA
"129","Romania",61.5,-58.56,0,0,0,0,0,"RO","ROU",642,2,46,25,"Global","Europe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.48421,96.2258663888889,45.6816280555556,"1-500TWh","1-500TWh","1-500TWh","<0 MTCO2e",0.206041,75.623,"60-80%",30655742,21234692,17822333,"10-50 million t","10-50 million t","10-50 million t"
"130","Russian Federation",59.5,2434.46,0,1,0,0,0,"RU","RUS",643,0,60,100,"Global","Europe",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,6668.512266187,6790.44837777778,2563.6009,"4000-8000TWh","4000-8000TWh","1000-3000TWH","1000-5000 MTCO2e",4.605661,87.881,"80-90%",397486298,809653052,395032895,"100-500 million t","1 billion t","100-500 million t"
"131","Rwanda",97,7.58,0,0,1,0,0,"RW","RWA",646,7,-2,30,"Global","Africa",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,1,1,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.003048,0,"No data",938469,41564,NA,"1-5 million t","1-5 million t",NA
"132","Saudi Arabia",72.5,664.23,0,0,0,0,0,"SA","SAU",682,0,25,45,"Global","Asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6472.839433974,1111.5,0,"4000-8000TWh","1000-1500TWH","No data","500-1000 MTCO2e",1.597496,99.856,"95-100%",327823499,229627252,NA,"100-500 million t","100-500 million t",NA
"133","Sudan",75.33,151.83,0,0,0,0,0,"SD","SDN",736,7,15,30,"Global","Africa",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,55.86966420645,0,0,"1-500TWh","No data","No data","1-169 MTCO2e",0.063062,0,"No data",21425136,NA,NA,"10-50 million t",NA,NA
"134","Senegal",105.83,34.92,0,0,1,0,0,"SN","SEN",686,7,14,-14,"Global","Africa",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.026955,0,"No data",6683933,39777,1315500,"1-10 million t","1-5 million t","1-5 million t"
"135","Sierra Leone",88.5,13.56,0,0,1,0,0,"SL","SLE",694,7,8.5,-11.5,"Global","Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.002818,0,"No data",1027063,NA,NA,"1-5 million t",NA,NA
"136","El Salvador",53,13.46,1,0,0,0,0,"SV","SLV",222,7,13.8333,-88.9167,"Global","North America",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.017034,0,"No data",5819633,NA,NA,"1-10 million t",NA,NA
"137","Somalia",0,40.06,0,0,0,0,0,"SO","SOM",706,7,10,49,"Global","Africa",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.001859,0,"No data",677567,NA,NA,"1-5 million t",NA,NA
"138","Serbia",75.5,62.92,0,0,0,0,0,"RS","SRB",688,7,44,21,"Global","Europe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0875086111111,"No data","No data","1-500TWh","1-169 MTCO2e",0.150013,0,"No data",8969040,4939422,40009311,"1-10 million t","1-5 million t","10-50 million t"
"139","Suriname",124.5,7.68,0,0,0,0,0,"SR","SUR",740,7,4,-56,"Global","South America",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.007151,0,"No data",2536733,7653,NA,"1-5 million t","1-5 million t",NA
"140","Slovakia",105.33,33.48,0,1,0,0,0,"SK","SVK",703,2,48.6667,19.5,"Global","Europe",1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.09142,69.798,"60-80%",9745359,9574552,11682127,"1-10 million t","1-10 million t","10-50 million t"
"141","Slovenia",124.5,10.98,0,0,0,0,0,"SI","SVN",705,2,46,15,"Global","Europe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.037585,64.312,"60-80%",6844496,1701629,4466708,"1-10 million t","1-5 million t","1-5 million t"
"142","Sweden",90.33,45.48,0,0,17,0,0,"SE","SWE",752,2,62,15,"Global","Europe",0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,2,2,1,1,3,4,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,10,14,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.117357,31.112,"20-40%",29632250,1939038,8213367,"10-50 million t","1-5 million t","5-10 million t"
"143","Swaziland",109.33,0,0,0,0,0,0,"SZ","SWZ",748,7,-26.5,31.5,"Global","Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No data","No data","No data","No data",0.002672,0,"No data",843189,NA,130658,"1-5 million t",NA,"1-5 million t"
"144","Syrian Arab Republic (Syria)",0,43.9,0,0,0,0,0,"SY","SYR",760,7,35,38,"Global","Asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.56816800346,33.27025,0,"1-500TWh","1-500TWh","No data","1-169 MTCO2e",0.073984,0,"No data",17160448,7240439,3664,"10-50 million t","1-10 million t","1-5 million t"
"145","Chad",124.5,102.57,0,0,0,0,0,"TD","TCD",148,7,15,19,"Global","Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.4949587915,0,0,"1-500TWh","No data","No data","1-169 MTCO2e",0.002827,0,"No data",953343,NA,NA,"1-5 million t",NA,NA
"146","Togo",114.33,14.86,0,0,0,0,0,"TG","TGO",768,7,8,1.1667,"Global","Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.00895,0,"No data",2447298,NA,NA,"1-5 million t",NA,NA
"147","Thailand",57,418.07,0,0,0,0,0,"TH","THA",764,7,15,100,"Global","Asia",1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,3,2,1,195.4299702499,357.726871111111,41.0717702777778,"1-500TWh","1-500TWh","1-500TWh","169-500 MTCO2e",0.791078,93.815,"90-95",128289489,83646519,59601155,"100-500 million t","50-100 million t","50-100 million t"
"148","Tajikistan",37.67,13.93,0,0,0,0,0,"TJ","TJK",762,7,39,71,"Global","Asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.024642,0,"No data",2685278,3997,5759671,"1-5 million t","1-5 million t","5-10 million t"
"149","Turkmenistan",0,126.56,0,0,0,0,0,"TM","TKM",795,7,40,60,"Global","Asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.7697,631.631840555556,0,"1-500TWh","500-1000TWH","No data","1-169 MTCO2e",0.235025,99.994,"95-100%",22084092,62226841,NA,"10-50 million t","50-100 million t",NA
"150","Timor-Leste",124.5,12.87,0,0,0,0,0,"TL","TLS",626,7,-8.55,125.5167,"Global","Asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.001521,0,"No data",554451,NA,NA,"1-5 million t",NA,NA
"151","Tunisia",124.5,39.25,0,0,0,0,0,"TN","TUN",788,7,34,9,"Global","Africa",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,22.965761,0,0,"1-500TWh","No data","No data","1-169 MTCO2e",0.085104,0,"No data",14656335,12472490,NA,"10-50 million t","10-50 million t",NA
"152","Turkey",106,396.03,0,0,0,0,0,"TR","TUR",792,0,39,35,"Global","Asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.772934166667,"No data","No data","1-500TWh","169-500 MTCO2e",1.11172,81.426,"80-90%",118149949,87708430,161877226,"100-500 million t","50-100 million t","100-500 million t"
"153","Taiwan, Republic of China",56.17,0,0,0,0,0,0,"TW","TWN",158,7,23.5,121,"Global","Asia",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,"No data","No data","No data","No data",0.720717,91.5,"90-95",65525847,40971197,151515498,"50-100 million t","10-50 million t","100-500 million t"
"154","Tanzania, United Republic of",68.67,319.78,0,0,1,0,0,"TZ","TZA",834,7,-6,35,"Global","Africa",0,3,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,"No data","No data","No data","169-500 MTCO2e",0.031904,0,"No data",7223487,1683330,1476482,"1-10 million t","1-5 million t","1-5 million t"
"155","Uganda",110.5,81.13,0,0,1,0,0,"UG","UGA",800,7,1,32,"Global","Africa",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.015179,0,"No data",5159634,NA,NA,"1-10 million t",NA,NA
"156","Ukraine",89.33,283.65,0,0,0,0,0,"UA","UKR",804,0,49,32,"Global","Europe",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,8,0,194.0142575,162.235973611111,"No data","1-500TWh","1-500TWh","169-500 MTCO2e",0.612571,75.112,"60-80%",37316678,61806758,115181894,"10-50 million t","50-100 million t","100-500 million t"
"157","Uruguay",97.5,26.52,1,0,0,0,0,"UY","URY",858,7,-33,-56,"Global","South America",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.017502,0,"No data",5936712,126281,22299,"1-10 million t","1-5 million t","1-5 million t"
"158","United States of America",36.17,5833.01,84,0,295,0,0,"US","USA",840,0,38,-97,"Global","North America",4,84,54,417,0,23,64,0,0,6,68,1,6,4,1,0,1,0,412,21,15,20,3,128,29,18,31,112,54,86,9,3,1,0,0,0,0,0,0,0,17,88,471,0,576,142,417,8697.416762574,9299.87527222222,3969.05413333333,"8000-10000TWh","8000-10000TWh","3000-4000TWH","5000-10000 MTCO2e",14.501908,83.263,"80-90%",2342535570,1706872671,1094657369,"5 billion t","5 billion t","> 7 billion t"
"159","Uzbekistan",124.5,213.33,0,0,0,0,0,"UZ","UZB",860,7,41,64,"Global","Asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.753569,572.933566944444,13.4262622222222,"1-500TWh","500-1000TWH","1-500TWh","169-500 MTCO2e",0.30253,96.75,"95-100%",8955105,89731749,8152570,"1-10 million t","50-100 million t","5-10 million t"
"160","Venezuela (Bolivarian Republic)",124.5,352.08,0,0,0,0,0,"VE","VEN",862,7,8,-66,"Global","South America",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542.2557783579,255.762186388889,2.09235972222222,"500-1000TWH","1-500TWh","1-500TWh","169-500 MTCO2e",0.320207,74.609,"60-80%",47200577,32774721,285329,"10-50 million t","10-50 million t","1-5 million t"
"161","Viet Nam",43.5,320.67,0,0,0,0,0,"VN","VNM",704,0,16,106,"Global","Asia",2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,133.072786,98.5265,302.106198888889,"1-500TWh","1-500TWh","1-500TWh","169-500 MTCO2e",0.679746,84.784,"80-90%",61826515,18500147,135229754,"50-100 million t","10-50 million t","100-500 million t"
"162","Yemen",41.83,22.74,0,0,0,0,0,"YE","YEM",887,7,15,48,"Global","Asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.39354560526,1.002225,0,"1-500TWh","1-500TWh","No data","1-169 MTCO2e",0.028141,0,"No data",7832185,1248618,337088,"1-10 million t","1-5 million t","1-5 million t"
"163","South Africa",45.67,503.05,2,0,5,0,0,"ZA","ZAF",710,1,-29,24,"Global","Africa",4,3,1,7,0,4,1,0,2,0,2,3,0,2,0,0,0,0,7,0,0,0,0,3,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7,8,0,15,8,7,0,0,1726.00615416667,"No data","No data","1000-3000TWH","500-1000 MTCO2e",1.313364,95.382,"95-100%",53532006,9421118,410449977,"50-100 million t","1-10 million t","100-500 million t"
"164","Zambia",98.33,495.17,0,0,0,0,0,"ZM","ZMB",894,7,-15,30,"Global","Africa",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,"No data","No data","No data","169-500 MTCO2e",0.018442,0,"No data",3796712,NA,1878171,"1-5 million t",NA,"1-5 million t"
"165","Zimbabwe",29.5,66.16,0,0,0,0,0,"ZW","ZWE",716,7,-20,30,"Global","Africa",0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,2,0,0,0,19.7000186111111,"No data","No data","1-500TWh","1-169 MTCO2e",0.028468,0,"No data",3489081,NA,6303997,"1-5 million t",NA,"5-10 million t"
