"","Country","City, state, or province","Start","Divestment type","Organisation","Organisation_type","Sources and more info","Sources 2","Sources 3","Notes","Category"
"285","--","--",2016-07-01,"--","City of Stuttgart","Government","--","--","--","--","Divestment"
"286","--","--",2014-05-01,"--","City of Sudbury, MA","Government","--","--","--","--","Divestment"
"287","--","--",NA,"--","City of Sunnyvale","Government","--","--","--","--","Divestment"
"288","--","--",2016-09-07,"--","City of Swan","Government","--","--","--","--","Divestment"
"289","--","--",2016-10-24,"--","City of Sydney","Government","--","--","--","--","Divestment"
"290","--","--",2013-05-01,"--","City of Truro, MA","Government","--","--","--","--","Divestment"
"291","--","--",2015-11-01,"--","City of Uppsala","Government","--","--","--","--","Divestment"
"292","--","--",2015-07-12,"--","City of Venissieux","Government","--","--","--","--","Divestment"
"293","--","--",2016-08-16,"--","City of Vincent","Government","--","--","--","--","Divestment"
"294","--","--",2016-03-01,"--","City of Wodonga","Government","--","--","--","--","Divestment"
"295","--","--",2019-06-03,"--","Clare Hall, Cambridge","Educational Institution","--","--","--","--","Divestment"
"296","--","--",2020-12-03,"--","Claretian Missionaries","Faith-based Organization","--","--","--","--","Divestment"
"297","--","--",2018-03-09,"--","Claudia Graham Superannuation Fund","Pension Fund","--","--","--","--","Divestment"
"298","--","--",NA,"--","Clean Water Action","NGO","--","--","--","--","Divestment"
"299","--","--",2016-05-01,"--","Climate Action Network Australia","NGO","--","--","--","--","Divestment"
"300","--","--",1905-07-09,"--","Climate Stewards","Faith-based Organization","--","--","--","--","Divestment"
"301","--","--",2018-12-12,"--","CNP Assurances","For Profit Corporation","--","--","--","--","Divestment"
"302","--","--",2020-12-03,"--","Colegio de Graduados en Cooperativismo y Mutualismo","Faith-based Organization","--","--","--","--","Divestment"
"303","--","--",2014-02-01,"--","College of the Atlantic","Educational Institution","--","--","--","--","Divestment"
"304","--","--",2014-12-01,"--","College of the Marshall Islands","Educational Institution","--","--","--","--","Divestment"
"305","--","--",2014-04-01,"--","Colorado Ratnashri Sangha","Faith-based Organization","--","--","--","--","Divestment"
"306","--","--",2017-03-13,"--","Columbia University in the City of New York","Educational Institution","--","--","--","--","Divestment"
"307","--","--",2016-04-01,"--","Comart Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"308","--","--",2020-12-03,"--","COMECE - Commission of the Bishops' Conferences of the European Union","Faith-based Organization","--","--","--","--","Divestment"
"309","--","--",2020-12-03,"--","Comissão Arquidiocesana de Justiça e Paz de Luanda","Faith-based Organization","--","--","--","--","Divestment"
"310","--","--",NA,"--","Communauté Mission de France","Faith-based Organization","--","--","--","--","Divestment"
"311","--","--",2019-07-23,"--","Community Environmental Council","NGO","--","--","--","--","Divestment"
"312","--","--",2015-03-01,"--","Community Friends Quaker Meeting in Cincinnati, OH","Faith-based Organization","--","--","--","--","Divestment"
"313","--","--",2015-02-01,"--","Community Impact Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"314","--","--",2014-01-01,"--","Compton Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"315","--","--",2019-11-13,"--","Concordia University","Educational Institution","--","--","--","--","Divestment"
"316","--","--",2020-05-28,"--","Confederación Interamericana de Educación Católica - CIEC","Faith-based Organization","--","--","--","--","Divestment"
"317","--","--",2020-01-16,"--","Congregation of Jesus (English Province)","Faith-based Organization","--","--","--","--","Divestment"
"318","--","--",2020-11-26,"--","Congregation of Our Lady, Canonesses of St Augustine (UK Delegation)","Faith-based Organization","--","--","--","--","Divestment"
"319","--","--",2020-12-03,"--","Congregation of Our Lady, Canonesses of St Augustine (UK Delegation)","Faith-based Organization","--","--","--","--","Divestment"
"320","--","--",2014-02-01,"--","Conservation Breeding Specialist Group","NGO","--","--","--","--","Divestment"
"321","--","--",2019-07-19,"--","Cool Hive","For Profit Corporation","--","--","--","--","Divestment"
"322","--","--",2020-05-22,"--","Cornell University","Educational Institution","--","--","--","--","Divestment"
"323","--","--",NA,"--","Council of Canadians","NGO","--","--","--","--","Divestment"
"324","--","--",NA,"--","Council of Progressive Rabbis of Australia, Asia, and New Zealand","Faith-based Organization","--","--","--","--","Divestment"
"325","--","--",2017-01-27,"--","Country of Ireland","Government","--","--","--","--","Divestment"
"326","--","--",2015-12-18,"--","County council of Loiret","Government","--","--","--","--","Divestment"
"327","--","--",NA,"--","CPEG - Caisse de prévoyance de l'État de Genève","Pension Fund","--","--","--","--","Divestment"
"328","--","--",2015-11-01,"--","Cranfield University","Educational Institution","--","--","--","--","Divestment"
"329","--","--",2020-12-03,"--","Creation Justice Commission","Faith-based Organization","--","--","--","--","Divestment"
"330","--","--",2020-05-28,"--","Creedon Educational Trust","Faith-based Organization","--","--","--","--","Divestment"
"331","--","--",2021-12-01,"--","Creighton University","Educational Institution","--","--","--","--","Divestment"
"332","--","--",2020-12-03,"--","Cristo Misionero del Padre","Faith-based Organization","--","--","--","--","Divestment"
"333","--","--",2018-01-11,"--","CSAA Insurance Group","For Profit Corporation","--","--","--","--","Divestment"
"334","--","--",2019-07-19,"--","Cutler Trust","Philanthropic Foundation","--","--","--","--","Divestment"
"335","--","--",2018-03-09,"--","Dan Mathews Superannuation Fund","Pension Fund","--","--","--","--","Divestment"
"336","--","--",2013-06-01,"--","Dane County, WI","Government","--","--","--","--","Divestment"
"337","--","--",2014-09-01,"--","Darwin Superannuation Fund","Pension Fund","--","--","--","--","Divestment"
"338","--","--",NA,"--","Davara Super Fund","Pension Fund","--","--","--","--","Divestment"
"339","--","--",2015-02-01,"--","David Suzuki Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"340","--","--",2016-04-01,"--","De Montfort University","Educational Institution","--","--","--","--","Divestment"
"341","--","--",NA,"--","Decco Superannuation Fund","Pension Fund","--","--","--","--","Divestment"
"342","--","--",2015-12-15,"--","Departmental council of Essonne","Government","--","--","--","--","Divestment"
"343","--","--",NA,"--","Derby City Council","Government","--","--","--","--","Divestment"
"344","--","--",2016-04-01,"--","Desmond & Leah Tutu Legacy Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"345","--","--",2018-12-06,"--","Deutsche Bundesstiftung Umwelt","Philanthropic Foundation","--","--","--","--","Divestment"
"346","--","--",2020-01-16,"--","Devonport Baptist Church, Plymouth","Faith-based Organization","--","--","--","--","Divestment"
"347","--","--",2013-10-01,"--","Diakonia","NGO","--","--","--","--","Divestment"
"348","--","--",2015-11-16,"--","Dijon","Government","--","--","--","--","Divestment"
"349","--","--",2020-05-28,"--","Diocese de São José dos Campos","Faith-based Organization","--","--","--","--","Divestment"
"350","--","--",2020-05-28,"--","Diocese of Arundel & Brighton","Faith-based Organization","--","--","--","--","Divestment"
"351","--","--",2017-05-18,"--","Diocese of Assisi","Faith-based Organization","--","--","--","--","Divestment"
"352","--","--",2017-05-18,"--","Diocese of Caserta","Faith-based Organization","--","--","--","--","Divestment"
"353","--","--",2017-05-18,"--","Diocese of Gubbio","Faith-based Organization","--","--","--","--","Divestment"
"354","--","--",2020-01-16,"--","Diocese of Lancaster","Faith-based Organization","--","--","--","--","Divestment"
"355","--","--",2019-10-16,"--","Diocese of Lausanne","Faith-based Organization","--","--","--","--","Divestment"
"356","--","--",2020-05-28,"--","Diocese of Ossory","Faith-based Organization","--","--","--","--","Divestment"
"357","--","--",2019-10-16,"--","Diocese of Padua","Faith-based Organization","--","--","--","--","Divestment"
"358","--","--",2016-10-04,"--","Diocese of the Holy Spirit of Umuarama","Faith-based Organization","--","--","--","--","Divestment"
"359","--","--",2020-12-03,"--","Diocese of Victoria","Faith-based Organization","--","--","--","--","Divestment"
"360","--","--",2018-12-06,"--","District of Aachen","Government","--","--","--","--","Divestment"
"361","--","--",2016-06-01,"--","District of Columbia Retirement Board","Pension Fund","--","--","--","--","Divestment"
"362","--","--",NA,"--","Ditton's Super Fund","Pension Fund","--","--","--","--","Divestment"
"363","--","--",2018-07-09,"--","DKM Darlehnskasse Münster eG","Faith-based Organization","--","--","--","--","Divestment"
"364","--","--",NA,"--","Dobra Super Fund","Pension Fund","--","--","--","--","Divestment"
"365","--","--",NA,"--","Dochters der Liefde - Filles de la Charité","Faith-based Organization","--","--","--","--","Divestment"
"366","--","--",2015-01-01,"--","Doctors for the Environment Australia","NGO","--","--","--","--","Divestment"
"367","--","--",2020-12-03,"--","Dominican Sisters of Mary","Faith-based Organization","--","--","--","--","Divestment"
"368","--","--",2018-03-09,"--","Douglas Superannuation Fund","Pension Fund","--","--","--","--","Divestment"
"369","--","--",2013-12-01,"--","Dover Friends Meeting","Faith-based Organization","--","--","--","--","Divestment"
"370","--","--",2020-05-28,"--","Dronfield Baptist Church","Faith-based Organization","--","--","--","--","Divestment"
"371","--","--",2020-04-01,"--","Dunscore Parish Church (Church of Scotland)","Faith-based Organization","--","--","--","--","Divestment"
"372","--","--",NA,"--","Durham University","Educational Institution","--","--","--","--","Divestment"
"373","--","--",2014-09-01,"--","Earth Super Fund","Pension Fund","--","--","--","--","Divestment"
"374","--","--",2014-05-01,"--","Earth Welfare Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"375","--","--",2012-12-01,"--","Earthjustice","NGO","--","--","--","--","Divestment"
"376","--","--",2014-09-01,"--","Earthsong","Faith-based Organization","--","--","--","--","Divestment"
"377","--","--",2015-06-01,"--","Eastminster United Church","Faith-based Organization","--","--","--","--","Divestment"
"378","--","--",2015-03-01,"--","Eastside Audobon Society","NGO","--","--","--","--","Divestment"
"379","--","--",NA,"--","Ecotrust","NGO","--","--","--","--","Divestment"
"380","--","--",NA,"--","Ecumenical Ministries of Oregon","Faith-based Organization","--","--","--","--","Divestment"
"381","--","--",2014-01-01,"--","Edward W. Hazen Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"382","--","--",2014-01-01,"--","Edwards Mother Earth Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"383","--","--",2018-03-09,"--","Eileen and Terry Lustig Family Superannuation Fund","Pension Fund","--","--","--","--","Divestment"
"384","--","--",2018-03-09,"--","El Jayar Enterprises Pty Ltd Employees Provident Fund","Pension Fund","--","--","--","--","Divestment"
"385","--","--",2019-06-03,"--","Emmanuel College, Cambridge","Educational Institution","--","--","--","--","Divestment"
"386","--","--",NA,"--","English Family Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"387","--","--",2020-12-03,"--","English Province of the Congregation of Christian Brothers","Faith-based Organization","--","--","--","--","Divestment"
"388","--","--",2015-10-01,"--","Environment Agency Pension Fund","Pension Fund","--","--","--","--","Divestment"
"389","--","--",2014-09-01,"--","Environment America","NGO","--","--","--","--","Divestment"
"390","--","--",2019-07-25,"--","Environment Governance Institute","NGO","--","--","--","--","Divestment"
"391","--","--",2016-05-01,"--","Environmental and Energy Study Institute","NGO","--","--","--","--","Divestment"
"392","--","--",2015-07-01,"--","Episcopal Church, USA","Faith-based Organization","--","--","--","--","Divestment"
"393","--","--",NA,"--","Episcopal City Mission, Boston, Massachusetts","Faith-based Organization","--","--","--","--","Divestment"
"394","--","--",2020-05-28,"--","Episcopal Commision for Justice and Peace","Faith-based Organization","--","--","--","--","Divestment"
"395","--","--",2019-03-25,"--","Episcopal Conference of Austria","Faith-based Organization","--","--","--","--","Divestment"
"396","--","--",2017-05-18,"--","Episcopal Conference of Belgium","Faith-based Organization","--","--","--","--","Divestment"
"397","--","--",2015-10-01,"--","Episcopal Diocese of California","Faith-based Organization","--","--","--","--","Divestment"
"398","--","--",NA,"--","Episcopal Diocese of Los Angeles, CA","Faith-based Organization","--","--","--","--","Divestment"
"399","--","--",2013-11-01,"--","Episcopal Diocese of Massachusetts","Faith-based Organization","--","--","--","--","Divestment"
"400","--","--",NA,"--","Episcopal Diocese of Nebraska","Faith-based Organization","--","--","--","--","Divestment"
"401","--","--",NA,"--","Episcopal Diocese of Olympia","Faith-based Organization","--","--","--","--","Divestment"
"402","--","--",2014-10-01,"--","Episcopal Diocese of Western Massachusetts","Faith-based Organization","--","--","--","--","Divestment"
"403","--","--",2016-10-01,"--","Erste Asset Management","For Profit Corporation","--","--","--","--","Divestment"
"404","--","--",2015-12-01,"--","ESF College Foundation, Inc.","Educational Institution","--","--","--","--","Divestment"
"405","--","--",2019-07-21,"--","Estwatch","NGO","--","--","--","--","Divestment"
"406","--","--",2018-03-09,"--","Etherington Family Super Fund","Pension Fund","--","--","--","--","Divestment"
"407","--","--",2016-08-13,"--","Evangelical Lutheran Church in America","Faith-based Organization","--","--","--","--","Divestment"
"408","--","--",2013-05-01,"--","Evangelical Lutheran Church of Oregon","Faith-based Organization","--","--","--","--","Divestment"
"409","--","--",NA,"--","Evangelische Kirchengemeinde Berlin-Brandenburg-Schlesische-Oberlausitz (EKBO)","Faith-based Organization","--","--","--","--","Divestment"
"410","--","--",2020-12-03,"--","FADICA - Foundations and Donors Interested in Catholic Activities","Faith-based Organization","--","--","--","--","Divestment"
"411","--","--",2016-06-01,"--","Federal State of Berlin","Government","--","--","--","--","Divestment"
"412","--","--",NA,"--","Federal State of Bremen","Government","--","--","--","--","Divestment"
"413","--","--",2016-10-04,"--","Federation of Christian Organisations for the International Voluntary Service (FOCSIV)","Faith-based Organization","--","--","--","--","Divestment"
"414","--","--",2019-07-19,"--","Fertotal s.a.r.l.","For Profit Corporation","--","--","--","--","Divestment"
"415","--","--",2015-11-13,"--","Field Museum in Chicago","Cultural Institution","--","--","--","--","Divestment"
"416","--","--",2020-07-08,"--","Fine Law Firm","For Profit Corporation","--","--","--","--","Divestment"
"417","--","--",2015-06-01,"--","First Congregational Church in Amherst, MA","Faith-based Organization","--","--","--","--","Divestment"
"418","--","--",2015-11-03,"--","First district of the city of Lyon","Government","--","--","--","--","Divestment"
"419","--","--",NA,"--","First Parish Church UU, MA","Faith-based Organization","--","--","--","--","Divestment"
"420","--","--",NA,"--","First Parish in Concord, UU, MA","Faith-based Organization","--","--","--","--","Divestment"
"421","--","--",2014-01-01,"--","First Parish in Hingham, Unitarian Universalist - Old Ship Church, MA","Faith-based Organization","--","--","--","--","Divestment"
"422","--","--",2013-06-01,"--","First Parish Unitarian Universalist Church in Cambridge, MA","Faith-based Organization","--","--","--","--","Divestment"
"423","--","--",2015-03-01,"--","First Presbyterian Church, Tallahassee, FL","Faith-based Organization","--","--","--","--","Divestment"
"424","--","--",2013-10-01,"--","First Presbyterian Palo Alto, CA","Faith-based Organization","--","--","--","--","Divestment"
"425","--","--",2014-05-01,"--","First Religious Society of Newburyport, MA","Faith-based Organization","--","--","--","--","Divestment"
"426","--","--",2016-04-01,"--","First State Super","Pension Fund","--","--","--","--","Divestment"
"427","--","--",NA,"--","First Unitarian Church of Des Moines, IA","Faith-based Organization","--","--","--","--","Divestment"
"428","--","--",2013-06-01,"--","First Unitarian Church of Pittsfield, ME","Faith-based Organization","--","--","--","--","Divestment"
"429","--","--",2014-06-01,"--","First Unitarian Church of Portland, OR","Faith-based Organization","--","--","--","--","Divestment"
"430","--","--",NA,"--","First Unitarian Church of Rochester, NY","Faith-based Organization","--","--","--","--","Divestment"
"431","--","--",2013-05-01,"--","First Unitarian Church of Salt Lake City, UT","Faith-based Organization","--","--","--","--","Divestment"
"432","--","--",2017-06-20,"--","First Unitarian Church of Victoria","Faith-based Organization","--","--","--","--","Divestment"
"433","--","--",2014-04-01,"--","First Unitarian Church, Ottawa, ON","Faith-based Organization","--","--","--","--","Divestment"
"434","--","--",2017-06-20,"--","First Unitarian Congregation of Ottawa","Faith-based Organization","--","--","--","--","Divestment"
"435","--","--",2013-03-01,"--","First Unitarian Society of Milwaukee, WI","Faith-based Organization","--","--","--","--","Divestment"
"436","--","--",2015-06-01,"--","First Unitarian Toronto, ON","Faith-based Organization","--","--","--","--","Divestment"
"437","--","--",2014-09-01,"--","Flame Tree Super Fund","Pension Fund","--","--","--","--","Divestment"
"438","--","--",NA,"--","Flou Flou Super Fund","Pension Fund","--","--","--","--","Divestment"
"439","--","--",NA,"--","Focolare Movement","Faith-based Organization","--","--","--","--","Divestment"
"440","--","--",NA,"--","Follen Community Church UU, MA","Faith-based Organization","--","--","--","--","Divestment"
"441","--","--",NA,"--","Fondacion eco Conciencia","Philanthropic Foundation","--","--","--","--","Divestment"
"442","--","--",2014-01-01,"--","Fondation Charles Leopold Mayer","Philanthropic Foundation","--","--","--","--","Divestment"
"443","--","--",NA,"--","Fondation Daniel et Nina Carasso","Philanthropic Foundation","--","--","--","--","Divestment"
"444","--","--",NA,"--","Fondation ensemble","Philanthropic Foundation","--","--","--","--","Divestment"
"445","--","--",2015-10-01,"--","Fondation France Libertés","Philanthropic Foundation","--","--","--","--","Divestment"
"446","--","--",NA,"--","Fondation Nicolas Hulot Pour La Nature Et L'Homme","Philanthropic Foundation","--","--","--","--","Divestment"
"447","--","--",2020-05-28,"--","Fondazione MAGIS","Faith-based Organization","--","--","--","--","Divestment"
"448","--","--",2018-12-03,"--","Fonds de reserve pour les retraites","Pension Fund","--","--","--","--","Divestment"
"449","--","--",2017-10-30,"--","Fonds de solidarité FTQ","For Profit Corporation","--","--","--","--","Divestment"
"450","--","--",2013-10-01,"--","Foothill-De Anza Community College Foundation","Educational Institution","--","--","--","--","Divestment"
"451","--","--",NA,"--","Footprint Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"452","--","--",2014-01-01,"--","Forsythia Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"453","--","--",2020-12-03,"--","Forum Internazionale Azione Cattolica","Faith-based Organization","--","--","--","--","Divestment"
"454","--","--",NA,"--","Foundation for Business and Society","Philanthropic Foundation","--","--","--","--","Divestment"
"455","--","--",2020-05-28,"--","Franciscan Action Network","Faith-based Organization","--","--","--","--","Divestment"
"456","--","--",2018-07-09,"--","Franciscan Friars TOR Society","Faith-based Organization","--","--","--","--","Divestment"
"457","--","--",2020-12-03,"--","Franciscan Missionary Sisters for Africa","Faith-based Organization","--","--","--","--","Divestment"
"458","--","--",2020-12-03,"--","Franciscan Servants of Mary Queen of Love","Faith-based Organization","--","--","--","--","Divestment"
"459","--","--",2019-10-16,"--","Franciscan Sisters Minoress","Faith-based Organization","--","--","--","--","Divestment"
"460","--","--",2019-11-28,"--","Franciscan Sisters Minoress","Faith-based Organization","--","--","--","--","Divestment"
"461","--","--",2014-09-01,"--","Franciscan Sisters of Mary","Faith-based Organization","--","--","--","--","Divestment"
"462","--","--",2014-01-01,"--","Frederick Mulder Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"463","--","--",2019-05-01,"--","French pension reserve fund","Pension Fund","--","--","--","--","Divestment"
"464","--","--",2018-03-09,"--","Freya Hadley Super Fund","Pension Fund","--","--","--","--","Divestment"
"465","--","--",2014-07-01,"--","Friends Fiduciary Corporation","Faith-based Organization","--","--","--","--","Divestment"
"466","--","--",2014-09-01,"--","Friends of the Earth","NGO","--","--","--","--","Divestment"
"467","--","--",2015-09-01,"--","Friends World Committee for Consultation","Faith-based Organization","--","--","--","--","Divestment"
"468","--","--",NA,"--","Fund for Democratic Communities","Philanthropic Foundation","--","--","--","--","Divestment"
"469","--","--",NA,"--","Fundación ECO Conciencia Córdoba","Philanthropic Foundation","--","--","--","--","Divestment"
"470","--","--",2014-04-01,"--","Funeral Consumers Alliance of Maine","NGO","--","--","--","--","Divestment"
"471","--","--",2014-08-01,"--","Future Super","Pension Fund","--","--","--","--","Divestment"
"472","--","--",2014-07-01,"--","Garfield Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"473","--","--",2017-05-18,"--","Gasthuiszusters Augustinessen van Leuven","Faith-based Organization","--","--","--","--","Divestment"
"474","--","--",2015-04-01,"--","General Service Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"475","--","--",NA,"--","Generali Insurance","For Profit Corporation","--","--","--","--","Divestment"
"476","--","--",2015-04-01,"--","George School","Educational Institution","--","--","--","--","Divestment"
"477","--","--",2020-06-29,"--","George Washington University","Educational Institution","--","--","--","--","Divestment"
"478","--","--",2020-02-07,"--","Georgetown University","Educational Institution","--","--","--","--","Divestment"
"479","--","--",NA,"--","Gibson and McGregor Super Fund","Pension Fund","--","--","--","--","Divestment"
"480","--","--",2015-06-25,"--","Gironde department","Government","--","--","--","--","Divestment"
"481","--","--",2018-08-02,"--","Glasgow Caledonian University","Educational Institution","--","--","--","--","Divestment"
"482","--","--",NA,"--","Global Catholic Climate Movement","NGO","--","--","--","--","Divestment"
"483","--","--",2015-09-02,"--","Gloucester Shire Council","Government","--","--","--","--","Divestment"
"484","--","--",2018-03-09,"--","Glow Worm Super Fund","Pension Fund","--","--","--","--","Divestment"
"485","--","--",2015-12-01,"--","GLS Treuhand","Philanthropic Foundation","--","--","--","--","Divestment"
"486","--","--",2017-04-15,"--","Glyndŵr University","Educational Institution","--","--","--","--","Divestment"
"487","--","--",2019-10-16,"--","Go Green Save Environments","Faith-based Organization","--","--","--","--","Divestment"
"488","--","--",2015-01-01,"--","Goddard College","Educational Institution","--","--","--","--","Divestment"
"489","--","--",2014-07-01,"--","Goldman Environmental Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"490","--","--",2016-11-22,"--","Goldsmiths University of London","Educational Institution","--","--","--","--","Divestment"
"491","--","--",NA,"--","Good Vibrations Super","Pension Fund","--","--","--","--","Divestment"
"492","--","--",2018-03-09,"--","Goolengook Super Fund","Pension Fund","--","--","--","--","Divestment"
"493","--","--",2015-02-01,"--","Government Pension Fund Global","Pension Fund","--","--","--","--","Divestment"
"494","--","--",2020-12-03,"--","Gower Street","Philanthropic Foundation","--","--","--","--","Divestment"
"495","--","--",2015-06-01,"--","Graeme Wood Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"496","--","--",2014-01-01,"--","Granary Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"497","--","--",NA,"--","Great Old Broads for Wilderness","NGO","--","--","--","--","Divestment"
"498","--","--",2013-05-01,"--","Green Mountain College","Educational Institution","--","--","--","--","Divestment"
"499","--","--",2017-05-18,"--","Greenaccord onlus","Faith-based Organization","--","--","--","--","Divestment"
"500","--","--",2019-07-21,"--","GreenWave","For Profit Corporation","--","--","--","--","Divestment"
"501","--","--",2018-03-09,"--","Gro Superannuation Fund","Pension Fund","--","--","--","--","Divestment"
"502","--","--",NA,"--","Gross and Watts Super Fund","Pension Fund","--","--","--","--","Divestment"
"503","--","--",2018-12-12,"--","Groupama","For Profit Corporation","--","--","--","--","Divestment"
"504","--","--",2020-12-03,"--","Grupo ecológico Salesiano ECOMA","Faith-based Organization","--","--","--","--","Divestment"
"505","--","--",2015-04-01,"--","Guardian Media Group","For Profit Corporation","--","--","--","--","Divestment"
"506","--","--",2018-06-09,"--","Gulbenkian Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"507","--","--",2014-10-01,"--","Gundersen Health System","Healthcare Institution","--","--","--","--","Divestment"
"508","--","--",NA,"--","H Green Superannuation Fund","Pension Fund","--","--","--","--","Divestment"
"509","--","--",2018-03-09,"--","Halcyon Super Fund","Pension Fund","--","--","--","--","Divestment"
"510","--","--",2011-12-01,"--","Hampshire College","Educational Institution","--","--","--","--","Divestment"
"511","--","--",NA,"--","Hancock United Church of Christ, Lexington, Massachusetts","Faith-based Organization","--","--","--","--","Divestment"
"512","--","--",NA,"--","Handelskammer Hamburg (Chamber of Commerce)","Pension Fund","--","--","--","--","Divestment"
"513","--","--",2018-03-09,"--","Hanley Merchant Super Fund","Pension Fund","--","--","--","--","Divestment"
"514","--","--",NA,"--","Hannover Reinsurance","For Profit Corporation","--","--","--","--","Divestment"
"515","--","--",2018-03-09,"--","Hardys Bay Super Fund","Pension Fund","--","--","--","--","Divestment"
"516","--","--",2016-01-01,"--","Haringey Pension Fund","Pension Fund","--","--","--","--","Divestment"
"517","--","--",2016-04-01,"--","Hastings Borough Council","Government","--","--","--","--","Divestment"
"518","--","--",2013-04-01,"--","Haverford Friends Meeting","Faith-based Organization","--","--","--","--","Divestment"
"519","--","--",NA,"--","Haydon Family Super Fun","Pension Fund","--","--","--","--","Divestment"
"520","--","--",2017-02-09,"--","HCF","For Profit Corporation","--","--","--","--","Divestment"
"521","--","--",2015-05-01,"--","Health Care Without Harm","Healthcare Institution","--","--","--","--","Divestment"
"522","--","--",2020-05-28,"--","Hereford Quaker Local Meeting","Faith-based Organization","--","--","--","--","Divestment"
"523","--","--",2020-05-28,"--","Hermanitas de la Asunción","Faith-based Organization","--","--","--","--","Divestment"
"524","--","--",2015-11-10,"--","Herriot-Watt University","Educational Institution","--","--","--","--","Divestment"
"525","--","--",2019-07-11,"--","Hesse","Pension Fund","--","--","--","--","Divestment"
"526","--","--",2014-09-01,"--","HESTA Super Fund","Pension Fund","--","--","--","--","Divestment"
"527","--","--",2018-03-09,"--","HG Burkitt Superannuation Fund","Pension Fund","--","--","--","--","Divestment"
"528","--","--",2014-01-01,"--","Hidden Leaf Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"529","--","--",2017-05-01,"--","High Street Baptist Church, Tring","Faith-based Organization","--","--","--","--","Divestment"
"530","--","--",2019-07-19,"--","HIP Investor Inc.","For Profit Corporation","--","--","--","--","Divestment"
"531","--","--",2020-01-16,"--","Holy Paraclete, Kirkhaugh (C of E)","Faith-based Organization","--","--","--","--","Divestment"
"532","--","--",2018-03-09,"--","Howqua River Super Fund","Pension Fund","--","--","--","--","Divestment"
"533","--","--",2018-03-09,"--","Hromas Super Fund","Pension Fund","--","--","--","--","Divestment"
"534","--","--",2015-02-13,"--","Huddersfield Quakers","Faith-based Organization","--","--","--","--","Divestment"
"535","--","--",2014-01-01,"--","Hull Family Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"536","--","--",2014-11-01,"--","Humboldt State University","Educational Institution","--","--","--","--","Divestment"
"537","--","--",2014-08-01,"--","Hunter Hall Investment Management","For Profit Corporation","--","--","--","--","Divestment"
"538","--","--",2015-06-01,"--","Ian Somerhalder Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"539","--","--",2017-05-10,"--","Il Dialogo","Faith-based Organization","--","--","--","--","Divestment"
"540","--","--",2018-07-09,"--","Indian Catholic Matters","Faith-based Organization","--","--","--","--","Divestment"
"541","--","--",NA,"--","Indigo Trust","Philanthropic Foundation","--","--","--","--","Divestment"
"542","--","--",2019-07-19,"--","Inner West council","Government","--","--","--","--","Divestment"
"543","--","--",NA,"--","Inspire Foundation for Business and Society","Philanthropic Foundation","--","--","--","--","Divestment"
"544","--","--",2018-07-09,"--","Institut Notre-Dame du Bon-Conseil de Montréal","Faith-based Organization","--","--","--","--","Divestment"
"545","--","--",2018-04-05,"--","International Association of World Peace Advocates","NGO","--","--","--","--","Divestment"
"546","--","--",2016-10-24,"--","International Living Future Institute","NGO","--","--","--","--","Divestment"
"547","--","--",1905-07-09,"--","Ipswich and Diss Chilterns Area Meeting","Faith-based Organization","--","--","--","--","Divestment"
"548","--","--",2016-10-05,"--","Ircantec","Pension Fund","--","--","--","--","Divestment"
"549","--","--",NA,"--","Irish Catholic Bishops Conference","Faith-based Organization","--","--","--","--","Divestment"
"550","--","--",2020-04-24,"--","Islamic Medical association of North America","Healthcare Institution","--","--","--","--","Divestment"
"551","--","--",2016-11-01,"--","Islamic Society of North America","Faith-based Organization","--","--","--","--","Divestment"
"552","--","--",2014-05-01,"--","Island Institute","NGO","--","--","--","--","Divestment"
"553","--","--",2020-01-16,"--","Ivybridge Methodist Church, Devon","Faith-based Organization","--","--","--","--","Divestment"
"554","--","--",NA,"--","Jacobs Robinson Super Fund","Pension Fund","--","--","--","--","Divestment"
"555","--","--",NA,"--","Jalana Super Fund","Pension Fund","--","--","--","--","Divestment"
"556","--","--",2014-07-01,"--","Jamaica Plain Unitarian Universalist, NY","Faith-based Organization","--","--","--","--","Divestment"
"557","--","--",2015-04-01,"--","Janelia Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
