"","Country","City, state, or province","Start","Divestment type","Organisation","Organisation_type","Sources and more info","Sources 2","Sources 3","Notes","Category"
"62","--","--",2018-03-09,"--","Arian Super Fund No 2","Pension Fund","--","--","--","--","Divestment"
"63","--","--",2018-03-09,"--","Armstrong Family Superannuation Fund","Pension Fund","--","--","--","--","Divestment"
"64","--","--",2018-07-09,"--","Artist caring environementally/Artist Against Fracking","Faith-based Organization","--","--","--","--","Divestment"
"65","--","--",2019-10-16,"--","Asociación ATTA","Faith-based Organization","--","--","--","--","Divestment"
"66","--","--",2020-05-28,"--","Asociación Civil Eco Raíces","Faith-based Organization","--","--","--","--","Divestment"
"67","--","--",2019-07-02,"--","ASR Netherlands NV","For Profit Corporation","--","--","--","--","Divestment"
"68","--","--",2020-12-03,"--","Association of U.S. Catholic Priests","Faith-based Organization","--","--","--","--","Divestment"
"69","--","--",2016-11-22,"--","Aston University","Educational Institution","--","--","--","--","Divestment"
"70","--","--",2020-02-06,"--","ATP","Pension Fund","--","--","--","--","Divestment"
"71","--","--",2017-11-04,"--","Auckland Council","Government","--","--","--","--","Divestment"
"72","--","--",2018-03-09,"--","Australia Institute","NGO","--","--","--","--","Divestment"
"73","--","--",2015-10-02,"--","Australian Academy of Science","Cultural Institution","--","--","--","--","Divestment"
"74","--","--",2015-08-01,"--","Australian Capital Territory","Government","--","--","--","--","Divestment"
"75","--","--",2018-03-09,"--","Australian Communities Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"76","--","--",2016-04-01,"--","Australian Ethical","For Profit Corporation","--","--","--","--","Divestment"
"77","--","--",2015-02-01,"--","Australian Guild of Screen Composers","NGO","--","--","--","--","Divestment"
"78","--","--",2017-05-18,"--","Australian Jesuit Province","Faith-based Organization","--","--","--","--","Divestment"
"79","--","--",2014-10-01,"--","Australian National University","Educational Institution","--","--","--","--","Divestment"
"80","--","--",2013-06-01,"--","Australian Religious Response to Climate Change (ARRCC)","Faith-based Organization","--","--","--","--","Divestment"
"81","--","--",2018-12-12,"--","Australian Vision Super Fund","Pension Fund","--","--","--","--","Divestment"
"82","--","--",2016-03-01,"--","AustralianSuper","Pension Fund","--","--","--","--","Divestment"
"83","--","--",NA,"--","Avesco Financial Services AG","For Profit Corporation","--","--","--","--","Divestment"
"84","--","--",2017-04-25,"--","AXA I.M.","For Profit Corporation","--","--","--","--","Divestment"
"85","--","--",2018-03-09,"--","B & G Superannuation Fund","Pension Fund","--","--","--","--","Divestment"
"86","--","--",2019-07-11,"--","Baden-Württemberg","Pension Fund","--","--","--","--","Divestment"
"87","--","--",2020-12-03,"--","Balally parish","Faith-based Organization","--","--","--","--","Divestment"
"88","--","--",2015-11-01,"--","Ballina Shire Council","Government","--","--","--","--","Divestment"
"89","--","--",2020-11-26,"--","Bangor University","Educational Institution","--","--","--","--","Divestment"
"90","--","--",2017-05-18,"--","Bank für Kirche und Caritas","For Profit Corporation","--","--","--","--","Divestment"
"91","--","--",NA,"--","Bank im Bistum Essen eG","Faith-based Organization","--","--","--","--","Divestment"
"92","--","--",NA,"--","Bank J. Safra Sarasin","For Profit Corporation","--","--","--","--","Divestment"
"93","--","--",2018-07-09,"--","Bankhaus Schelhammer & Schattera","Faith-based Organization","--","--","--","--","Divestment"
"94","--","--",2018-03-09,"--","Banks Slipper Super Fund","Pension Fund","--","--","--","--","Divestment"
"95","--","--",2020-05-28,"--","Banner Cross Methodist Church","Faith-based Organization","--","--","--","--","Divestment"
"96","--","--",2015-11-01,"--","Banyule City Council","Government","--","--","--","--","Divestment"
"97","--","--",2019-11-28,"--","Baptist Union of Great Britain","Faith-based Organization","--","--","--","--","Divestment"
"98","--","--",NA,"--","Barnegat Monthly Meeting","Faith-based Organization","--","--","--","--","Divestment"
"99","--","--",NA,"--","Barnett Super Wealthy Fund","Pension Fund","--","--","--","--","Divestment"
"100","--","--",NA,"--","Barry Family Super Fund","Pension Fund","--","--","--","--","Divestment"
"101","--","--",2016-07-01,"--","Bass Coast Shire","Government","--","--","--","--","Divestment"
"102","--","--",2015-06-01,"--","Bathurst Street United Church","Faith-based Organization","--","--","--","--","Divestment"
"103","--","--",2014-01-01,"--","Ben & Jerry's Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"104","--","--",2014-06-01,"--","Bendigo and Adelaide Bank Limited","For Profit Corporation","--","--","--","--","Divestment"
"105","--","--",2017-01-16,"--","Berliner Ärzteversorgung / Berlin Doctor's Pensionfund","Pension Fund","--","--","--","--","Divestment"
"106","--","--",2018-03-09,"--","Berygan Pty Ltd","Pension Fund","--","--","--","--","Divestment"
"107","--","--",2018-03-09,"--","Besen Family Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"108","--","--",2019-07-19,"--","Bethel United Church of Christ","Faith-based Organization","--","--","--","--","Divestment"
"109","--","--",2014-01-01,"--","Betsy and Jesse Fink Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"110","--","--",2019-11-28,"--","Beulah United Reformed Church, Cardiff","Faith-based Organization","--","--","--","--","Divestment"
