"","Category","Fuel_type","Fuel_subtype","Country","ISO2","ISO3","UN","City_state_or_province","mbl_country","mbl_city_region","Start","End","Sources_and_more_info","Sources_2","Sources_3","Policy","Sources_and_more_info_hyperlinks","Column1","a","b","MBL_Class_Moratorium","MBL_Class_Ban","MBL_Class_Partial_Ban","MBL_Class_Limitation","MBL_Type_Oil","MBL_Type_Gas","MBL_Type_Coal","MBL_Type_Offshore","MBL_Type_Oil_Gas","MBL_Type_Oil_Gas_Coal","MBL_Type_Coal_Gas","MBL_Type_All","MBL_Type_Ore","Date","date"
"51","Ban","Gas","Shale","United States of America","US","USA",840,"Florida",0,1,2016,"ongoing","http://www.newsherald.com/article/20160216/NEWS/160219311","http://www.wjhg.com/home/headlines/Bay-County-Commissioners-ban-fracking-379839881.html","http://www.starfl.com/news/20160428/bocc-to-consider-ordinance-banning-fracking",1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2016-01-01,2016-01-01
"52","Ban","Gas","Shale","United States of America","US","USA",840,"Florida",0,1,2016,"ongoing","https://www.floridatoday.com/story/news/local/environment/2016/03/15/brevard-county-approves-fracking-ban/81801966/","https://www.floridatoday.com/story/news/local/environment/2016/03/01/fracking-debated-brevard-county-commission/81124510/",NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2016-01-01,2016-01-01
"53","Ban","Gas","Shale","United States of America","US","USA",840,"Florida",0,1,2016,"ongoing","https://www.news-press.com/story/news/2016/02/08/cape-coral-meeting/80006704/","http://www.cape-coral-daily-breeze.com/page/content.detail/id/642554/Local-lawmakers-urged-to-support-frack-ban.html?nav=5011",NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2016-01-01,2016-01-01
"54","Ban","Gas","Shale","United States of America","US","USA",840,"Florida",0,1,2016,"ongoing","https://oursantaferiver.org/citrus-county-approves-fracking-ban/","http://spectrabusters.org/2016/06/15/citrus-county-fl-passes-ordinance-banning-fracking-2016-06-14/",NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2016-01-01,2016-01-01
"55","Ban","Gas","Shale","United States of America","US","USA",840,"Florida",0,1,2016,"ongoing","http://www.tampabay.com/news/localgovernment/dade-city-bans-controversial-fracking-technique/2289090","http://lakerlutznews.com/lln/?p=38067",NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2016-01-01,2016-01-01
"56","Ban","Gas","Shale","United States of America","US","USA",840,"Florida",0,1,2016,"ongoing","http://frackingflorida.org/madison-county-florida-passes-anti-fracking-ordinance/","http://www.wtxl.com/news/madison-county-commission-meets-to-combat-fracking/article_b4fd796c-f166-11e5-82d7-332fa10c459b.html",NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2016-01-01,2016-01-01
"57","Ban","Gas","Shale","United States of America","US","USA",840,"Florida",0,1,2016,"ongoing","http://www.tampabay.com/news/localgovernment/pinellas-county-commission-to-consider-fracking-ban/2280527","http://www.tampabay.com/news/localgovernment/pinellas-county-commission-to-consider-fracking-ban/2280527",NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2016-01-01,2016-01-01
"58","Ban","Gas","Shale","United States of America","US","USA",840,"Florida",0,1,2016,"ongoing","http://www.orlandosentinel.com/news/breaking-news/os-seminole-county-fracking-ordinance-20160209-story.html","http://www.wmfe.org/seminole-county-bans-fracking-joining-municipalities-statewide/56746",NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2016-01-01,2016-01-01
"59","Ban","Gas","Shale","United States of America","US","USA",840,"Florida",0,1,2016,"ongoing","http://www.wmnf.org/st-petersburg-seeks-ordinance-to-ban-fracking/","https://www.cltampa.com/news-views/article/20764887/st-pete-council-yes-to-puppies-and-fracking-ban-no-to-trolling-gop-lawmakers",NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2016-01-01,2016-01-01
"60","Ban","Gas","Shale","United States of America","US","USA",840,"Florida",0,1,2016,"ongoing","http://www.news-journalonline.com/article/LK/20160218/News/605064694/DN/","https://www.beacononlinenews.com/articles/2016/02/19/volusia-moves-ban-fracking",NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2016-01-01,2016-01-01
"61","Ban","Gas","Shale","United States of America","US","USA",840,"Florida",0,1,2016,"ongoing","http://www.thewakullanews.com/content/board-reverses-passes-fracking-ban","https://www.tallahassee.com/story/news/2015/11/27/counties-oppose-bills-pre-empt-fracking-bans/76379914/",NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2016-01-01,2016-01-01
"62","Ban","Gas","Shale","United States of America","US","USA",840,"Florida",0,1,2016,"ongoing","http://www.nwfdailynews.com/news/20160223/commissioners-say-no-to-fracking/1","http://www.nwfdailynews.com/news/20161001/calhoun-county-takes-stand-against-fracking","http://www.clerkofcourts.co.walton.fl.us/document_center/Minutes/Regular_Meetings/20160322.pdf",1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2016-01-01,2016-01-01
"63","Ban","Gas","Shale","United States of America","US","USA",840,"Florida",0,1,2016,"ongoing","http://www.tampabay.com/news/localgovernment/zephyrhills-moves-toward-ban-on-fracking/2300126","http://lakerlutznews.com/lln/?p=41144",NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2016-01-01,2016-01-01
"64","Ban","Offshore",NA,"United States of America","US","USA",840,"Florida",0,1,2018,"ongoing","https://www.vox.com/science-and-health/2018/11/5/18055844/florida-amendment-9-vaping-offshore-drilling-midterm-election-results","https://www.wfla.com/news/politics/florida-passes-amendment-9-banning-both-offshore-oil-drilling-and-indoor-vaping/1577495572/",NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2018-01-01,2018-01-01
"65","Ban","Gas","Shale","Switzerland","CH","CHE",756,"Fribourg",0,1,2011,"ongoing","https://www.swissinfo.ch/eng/shale-gas-could-remain-out-of-reach-in-the-ground/30281888","https://www.bafu.admin.ch/dam/bafu/en/dokumente/wasser/dossiers/medienmitteilung-fracking.pdf.download.pdf/Federal%20Council%20adopts%20report%20on%20fracking.pdf",NA,1,"Link","Link",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2011-01-01,2011-01-01
"66","Ban","Coal","Coal","Indonesia","ID","IDN",360,"Global",0,1,2021,NA,"https://www.channelnewsasia.com/business/indonesia-suspends-coal-exports-34-mining-companies-report-2101796",NA,NA,1,"Link","Link",5,NA,4,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-01,2021-01-01
"67","Ban","Oil",NA,"United States of America","US","USA",840,"Great Lakes",0,1,2002,"ongoing","http://www.lrc.usace.army.mil/GrtLakes/OilGas/FinalReport.pdf",NA,NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2002-01-01,2002-01-01
"68","Moratorium","Oil & Gas",NA,"Denmark","DK","DNK",208,"Greenland",0,1,2013,"ongoing","https://www.theguardian.com/world/2013/mar/27/greenland-halts-oil-drilling-licences","http://peacenews.org/2013/04/16/greenland-halts-new-oil-drilling-licences-with-video-white-wolf/",NA,1,"Link","Link",2,1,1,1,0,1,0,0,0,0,1,0,0,1,0,2013-01-01,2013-01-01
